node_name,used_as_start,used_as_end,latitude,longitude,geolocation_source
De Lorimier,True,True,45.5344171,-73.56984901787037,
Delisle,True,True,40.0194943,-84.5741202,
Delson,True,True,45.3748635,-73.5412607,
Des Cantons,True,True,-48.962613,69.04127340383323,
Des HÃƒÂªtres,True,True,,,
Des Irlandais,True,True,48.8440243,2.3462964217137854,
Desbiens,False,True,48.417809,-71.949463,
Deschambault,True,True,46.6492,-71.929893,
Doc-Grignon,True,True,,,
Domtar QuÃƒÂ©villon,True,True,,,
Domtar Windsor,True,True,45.56677125,-71.98417093222562,
Dorchester,True,True,50.7132064,-2.4371229,
Dorion,True,True,45.3863926,-74.0084813,
Du Portage,False,True,47.7672259,-69.6105212,
Du Tremblay,True,True,48.82531885,2.4881113920465436,
Dubuc,False,True,50.6849613,-102.4747943,
Duchesnay,True,True,46.8572271,-71.195907,
Duvernay,True,True,53.7865741,-111.6902879,
DÃƒÂ©gelis,False,True,,,
EKA Chimie Canada Inc Magog,True,True,,,
East Angus,True,True,45.4828558,-71.6594817,
East Broughton,False,True,46.216664,-71.075706,
Eastmain-1,False,True,36.152497,-88.795117,
Eka Chimie Canada Inc,True,True,,,
Elkem Metal Canada,True,True,,,
Emballages Smurfit-Stone,False,True,,,
Emballages-Smurfit-Stone La Tuque,False,True,,,
Erco Mondial Buckingham,True,False,,,
F.F. Soucy S.E.C.,True,True,,,
FPS Canada Inc,True,True,,,
Falconbridge LimitÃƒÂ©e MontrÃƒÂ©al-Est,True,False,,,
Farnham,True,True,51.2151749,-0.7984854,
Figuery,True,False,44.0473984,1.2501923,
Fleury,True,True,50.42199,2.25386,
Forges-de-Sorel,True,True,,,
Francheville,True,True,47.454505,4.8813399,
Frontenac-1,True,True,38.6308867,-90.4338274,
Frontenac-2,False,True,38.6323484,-90.4287446,
GEC-Alstom-Fagan,False,True,,,
Gamelin,False,True,43.5888722,1.421436,
GaspÃƒÂ©,True,True,,,
GaspÃƒÂ©sia,False,True,,,
Gatineau,True,True,45.4277659,-75.710976,
Glenwood,True,False,41.5424867,-87.6022765,
Godbout,True,True,49.323332,-67.59613,
Goldex,True,True,41.0082009,28.9580826,
Goodyear Canada,True,False,50.0535996,-110.7113894867934,
GoÃƒÂ©mon,True,True,,,
Gracefield,True,True,46.0933721,-76.0531906,
Granby,True,True,45.3990409,-72.721834,
Grand-BrulÃƒÂ©,True,True,,,
Grand-Portage,False,True,47.963776,-89.6848121,
Grand-PrÃƒÂ©,True,False,,,
Grande VallÃƒÂ©e,False,True,,,
Grantham,False,True,52.913192,-0.6438974,
Grondines,True,True,46.592662,-72.0406309,
Gros-Morne,False,True,19.6716098,-72.6783922,
Groulx,True,True,45.4827728,-73.5798271,
Guy,True,True,35.3253588,-92.3343208,
Hadley,True,True,42.3424147,-72.5892108,
Hampstead,True,True,51.55653,-0.1783011,
Hart-Jaune,False,True,51.81437425,-67.85196915488217,
Hauterive,True,True,48.4774049,0.1989853,
Havre-Saint-Pierre,True,True,50.2463647,-63.6003951,
Hemmingford,False,True,45.048424,-73.58554645874733,
Henri-Bourassa,True,True,45.5545124,-73.6682516,
Heriot,True,True,55.7647853,-2.9687439,
Hertel,True,True,45.8085575,-92.1751873,
High Falls,True,True,41.825289999999995,-74.12210490234375,
Hull-2,False,True,45.42161199464099,-75.72128234552005,
Huntingdon,False,True,40.3446332,-78.0281185,
Hydrogenal Inc,True,True,,,
IREQ,True,True,45.6208649,-73.3791213,
Iberville,True,True,30.2120844,-91.3133623,
Institute-de-Recherche,True,False,-12.0941794,-77.0152128,
Interconnexion-Maclaren,True,True,,,
Interquisa,False,True,,,
Iron-Ore-du-Canada,False,True,,,
Jacques-Cartier,True,True,48.09755595,-1.675390761627867,
Jean-R Marcotte,True,True,48.51604798512067,-72.22466370201165,
Jeanne-dArc,True,True,,,
Johan-Beetz,True,True,50.289411,-62.8063611,
Joliette,True,True,46.0239798,-73.4419936,
Joly,True,True,48.2232296,-1.9452064,
JonquiÃƒÂ¨re,True,True,,,
Joutel,False,True,49.4623075,-78.3084915,
Judith-Jasmin,True,True,45.717545900000005,-73.72539926505519,
Jules-A.-Brillant,True,True,48.45042586808255,-68.52407645976726,
Junction 1646,True,True,30.4893555,-99.7720109,
Junction 1647,True,True,30.4893555,-99.7720109,
Kamouraska,True,True,47.4680992,-69.7909498,
Kamouraska_SCS,True,True,,,
Katahdin PÃƒÂ¢te QuÃƒÂ©bec,True,True,,,
Kildare,False,True,53.1568465,-6.9117199,
Kingsey,True,True,51.7548778,-0.9243742,
Kipawa,True,True,46.7811942,-78.9862187,
Kruger Inc Bromptonville,True,True,,,
Kruger Inc Trois-RiviÃƒÂ¨res,False,True,,,
LAcadie,True,False,45.87919233537258,-72.53266056806714,
LAnnonciation,True,True,,,
LAnse Pleureuse,True,True,,,
LAssomption,True,True,,,
LIsle Maligne,True,True,,,
La Baie,False,True,48.405959,-71.069183,
La Durantaye,True,True,46.835066,-70.85598,
La Gabelle,False,True,44.0824433,5.315015,
La Grande-1,True,False,45.3246068,-118.0878695,
La Grande-2,True,False,45.3246068,-118.0878695,
La Grande-2A,True,False,53.780806999999996,-77.54891330388159,
La Grande-3,False,True,53.7274814,-75.98719657432466,
La Grande-4,False,True,53.878361350000006,-73.46849868419923,
La PocatiÃƒÂ¨re,True,False,,,
La Prairie,True,True,47.228276,-93.489102,
La SociÃƒÂ©tÃƒÂ© en commandite revenu Noranda,False,True,,,
La SuÃƒÂ¨te,True,True,,,
La Trappe,True,True,44.6001594,3.935435,
La Tuque,True,True,47.441092,-72.78511,
La VÃƒÂ©rendrye,True,True,,,
Lac Bloom,True,True,52.829379349999996,-67.2437254334759,
Lac-Alfred,True,True,48.3957056,-67.75891387347299,
Lac-Hope,True,True,47.58964775,-73.632217542055,
Lac-des-ÃƒÅ½les,False,True,,,
Lachenaie,True,True,45.702283,-73.5535424,
Lachute,True,True,45.6560478,-74.3401388,
LaflÃƒÂ¨che,False,True,,,
Lafontaine,True,True,45.8116516,-74.014184,
Laforge-1,False,True,54.1704862,-72.6042223,
Laforge-2,False,True,50.49500725,4.902655830901393,
Lambton,True,True,42.9493427,-82.1186567,
LanaudiÃƒÂ¨re,True,True,,,
Landry,False,True,45.57,6.73991,
Langelier,True,True,45.5827257,-73.5431577,
Langlois,True,True,42.9235756,-124.4507782,
Larocque,True,True,46.008377,-0.9727667,
Laure,True,True,43.3866836,5.2215067,
Laurendeau,False,True,49.8861528,2.295968,
Laurent,True,True,44.5077749,0.7459721,
Laurentides,True,True,46.6070866,-75.1209782075808,
Lavaltrie,True,True,45.883078,-73.282242,
Le Corbusier,True,True,43.26146,5.396276290594176,
Le FranÃƒÂ§ois,True,True,,,
Le Moyne,True,False,44.4998916,-0.7899321,
Le Nordais-1,True,True,45.86520239569198,-74.15661202410898,
Le Nordais-2,True,True,45.86520239569198,-74.15661202410898,
Le Plateau,True,True,5.328049,-4.021246,
Lebel,False,True,42.8795844,74.6120422,
Leclerc,True,True,48.790064400000006,2.225107298619065,
Leman,True,True,53.467035,21.6667621,
Leneuf,True,True,47.0899776,-72.09585699311879,
Les Basques,True,True,48.1282639,-69.0332332,
Les Boules,True,True,48.6839287,-67.9841822,
Les CÃƒÂ¨dres,True,True,,,
Limbour,True,True,-8.6747278,115.5623194,
Limoilou,True,True,46.8262728,-71.233149,
LiniÃƒÂ¨re,False,True,,,
Longue-Pointe,True,True,45.577884,-73.53749919552446,
Lorrainville,True,False,47.354641,-79.351501,
LotbiniÃƒÂ¨re,True,True,,,
Louvicourt,True,False,48.0700355,-77.3807566,
Lucerne,True,True,47.0505452,8.3054682,
LÃƒÂ©ry,True,True,36.872198,42.9585737,
LÃƒÂ©vis,True,True,,,
LÃƒÅ½le,True,True,4.03602,43.87426,
LÃƒÅ½le-Perrot,True,False,,,
Madawaska,False,True,47.3551083,-68.3209866,
Magnan,False,True,43.7692658,-0.1242675,
Magog,True,True,45.2658014,-72.1480686,
Magpie,True,True,-37.6324345,143.84506221603834,
Maissonneuve,False,True,,,
Malartic-2,True,False,48.137225,-78.125153,
Manic-1,True,True,47.800374,-3.295237,
Manic-2,False,True,46.0539253,-71.9562359,
Manic-3,True,True,47.800331,-3.295518,
Manic-5,False,True,50.6422916,-68.736306,
Manic-5A,False,True,46.9618517,24.199829,
Manicouagan,True,True,50.4356692,-68.7676678,
Maniwaki,True,True,46.3778839,-75.9807967,
Marcotte,True,True,43.6792323,0.0566896,
Marie-Victorin,False,True,45.56801505,-73.56919408645481,
Mascouche,True,True,45.7453521,-73.6005591,
Massif-du-Sud,False,True,46.585034,-70.44851431985381,
Masson-Nord,True,True,45.5454175,-75.4213652,
Masson-Sud,False,True,18.086506,-73.8689538,
Matagami,True,False,49.7575884,-77.6300251,
Matane,True,True,48.8468773,-67.5295498,
MatapÃƒÂ©dia,False,True,,,
Mauricie,True,True,47.57124705,-73.20809134761296,
McCormick,True,True,33.8795325,-82.2797719,
Mercier,True,True,45.310444,-73.746051,
Micmac,True,True,44.68634755,-63.559456105237125,
Micoua,True,True,,,
Mine Doyon,True,True,48.26547105,-78.55017682514514,
Mine Gonzague-Langlois,False,True,,,
Mine Jeffrey,True,False,45.7726471,-71.95257552412112,
Mine Malartic,False,True,48.11851215,-78.08886028257761,
Mines Agnico-Eagle LimitÃƒÂ©e,True,True,,,
Mines Casa-Berardi,False,True,,,
Mines Selbaie,True,False,,,
Mirabel,False,True,44.6087281,4.4981934,
Mistassini,True,True,48.892019,-72.2084055,
Mittal Canada Inc,True,True,,,
Mittal Canada Inc Contrecoeur,True,True,,,
Monseigneur-Ãƒâ€°mard,False,True,,,
Mont-Copper,True,True,48.9621597,-65.5124088,
Mont-Joli,True,True,48.583875,-68.183899,
Mont-Laurier,True,True,46.5524071,-75.4968899,
Mont-Louis,True,True,42.5096936,2.1208774,
Mont-Miller,False,True,48.9603814,-65.474662,
Mont-Rothery,True,True,48.9870126,-65.3658587,
Mont-Royal,True,True,45.5085881,-73.5897111,
Mont-Tremblant,False,True,46.11588,-74.5891426,
Montagnais,True,True,47.91461759575676,-71.90657030205759,
Montagne-SÃƒÂ¨che,True,True,,,
Montmagny,False,True,48.9728571,2.343561,
MontrÃƒÂ©al-Est,True,True,,,
MontÃƒÂ©rÃƒÂ©gie,True,True,,,
Moras,True,True,45.6878,5.25771,
Murailles,True,True,47.6653637,-2.7678572,
MÃƒÂ©gantic,True,True,,,
MÃƒÂ©kanic,True,True,,,
MÃƒÂ©tallurgie Magnola Inc,True,True,,,
Napierville,False,True,45.18608,-73.4042485,
Natashquan,False,True,50.1839077,-61.8174062,
Nemiscau,True,True,51.6879428,-76.2568664,
Neubois,True,True,48.3052558,7.3397124,
NeufchÃƒÂ¢tel,True,True,,,
New Richmond,True,False,38.9486757,-84.2799366,
Nicolet,True,True,46.2272898,-72.6192665,
Nikamo,True,False,,,
Niobec,True,True,48.532098899999994,-71.14996136645,
Normand,True,False,19.7224108,-72.2595538,
Normandin,False,True,48.837153,-72.529678,
Normetal,True,True,48.996438,-79.362488,
Notre-Dame,False,True,41.704567749999995,-86.23822026017265,
Notre-Dame-du-Laus,True,False,46.0899,-75.62439,
Notre-Dame-du-Nord,True,True,47.593199,-79.487457,
Obalski,True,True,49.7475006,-74.3980202,
Ormstown,True,True,45.1255418,-73.9922809,
Ouimet,True,True,46.1699852,-74.58924317944053,
Outaouais,True,True,46.6099678,-76.7719627720078,
Outardes,True,False,50.7771784,-69.3811298,
Outardes-2,False,True,43.4816,-1.528186,
Outardes-3,True,False,43.481537,-1.5283,
Outardes-4,False,True,49.70566085,-68.9050614964652,
P.C.I. Chimie Canada Inc,True,True,,,
PPG Canada Inc,True,True,,,
Palmarolle,True,False,48.661943,-79.200439,
Pandora,False,True,40.9481079,-83.9610538,
Papier Masson Inc,True,False,,,
Papiers-Scott Inc,False,True,,,
Papineauville,True,False,45.61884,-75.020142,
Paquin,True,True,47.6329897,-79.3132339,
Parent,False,True,45.6235094,3.2294652,
Parisville,True,True,46.518713,-72.064133,
PaspÃƒÂ©biac,True,True,,,
Patriotes,True,True,-4.451341625242785,15.265929642855705,
Paugan,True,True,45.810699549999995,-75.9328932541377,
PentecÃƒÂ´te,True,True,,,
PercÃƒÂ©,False,True,,,
Petite-Nation,True,True,45.9375872,-75.0728369,
Pierre Boucher,False,True,45.6125338,-73.4565642,
Pierre-Le Gardeur,True,True,45.718885900000004,-73.51726880996449,
Plessisville,True,True,46.219515,-71.771965,
Plouffe,False,True,46.4461678,-75.5575827,
Pointe-Noire,False,True,-4.7975373,11.8503297,
Poirier,True,True,19.24062,-72.6822203,
Port Cartier,True,True,50.0187481,-66.8756913,
Port-Alfred,False,True,-33.5981844,26.8914772,
Praxair Canada Contrecoeur,True,True,,,
PremiÃƒÂ¨re Chute,True,True,,,
Provost,False,True,52.4137383,-110.639576,
PÃƒÂ©ribonka,False,True,,,
PÃƒÂ©rigny,True,True,,,
PÃƒÂ©tremont Inc,False,True,,,
Qit-Fer-et-Titane,False,True,,,
Quevillon,True,False,49.4195184,0.9522644,
Quyon,True,True,45.5204631,-76.2302306,
QuÃƒÂ©bec,True,True,,,
QuÃƒÂ©bec Lithium,True,True,,,
Radisson,True,True,52.4610242,-107.3950488,
Ramezay,True,True,45.508764299999996,-73.55316909929684,
Rapide-2,True,True,44.0050238,4.7757177,
Rapide-7,True,True,-34.063502799999995,18.610999670611314,
Rapide-Blanc,True,True,47.790592450000005,-72.96269459384149,
Rapide-des-Coeurs,True,True,47.786694600000004,-73.3752530398013,
Rapides-Farmers,True,True,,,
Rapides-des-Iles,True,True,48.3529811,-72.2176902,
Rapides-des-Quinze,True,True,47.5990242,-79.4483467,
Reed,True,True,30.605683149999997,-96.3462954986893,
Renaud,False,True,46.1931763,4.9434074,
Reneault,True,True,48.4665992,-79.0408816,
Repetigny,False,True,,,
Richelieu,False,True,47.0124915,0.3240548,
Rigaud,True,True,43.9902096,6.991363,
Rimouski,True,True,48.450155,-68.529968,
RiviÃƒÂ¨re-Sainte-Anne,True,True,,,
RiviÃƒÂ¨re-au-Renard,True,False,,,
RiviÃƒÂ¨re-au-Tonnerre,True,True,,,
RiviÃƒÂ¨re-aux-Bouleaux,True,True,,,
RiviÃƒÂ¨re-aux-Rochers,True,True,,,
RiviÃƒÂ¨re-du-Loup,True,True,,,
RiviÃƒÂ¨re-du-Moulin,True,True,,,
RiviÃƒÂ¨re-du-loup,True,True,,,
RiviÃƒÂ¨re-ÃƒÂ -la-Chaloupe,True,True,,,
Roberval,True,False,49.2910032,2.6891349,
Rockfield,True,True,51.831402,-2.7527542,
Rolland,True,True,45.0732285,-0.0826943,
Romaine-1,True,True,-41.0831891,145.8976415604557,
Romaine-2,True,True,-41.0858081,145.89363502193333,
Romaine-3,True,True,-41.085454049999996,145.89316535,
Romaine-4,True,True,-41.085899,145.89395881149932,
Rosemont,True,False,41.9941334,-87.8756737,
Rosiers,True,True,45.7501286,1.5497533,
Roussillon,True,True,45.3735991,4.8124049,
Rouville,True,True,49.6144065,0.4995293,
Rouyn,True,True,48.2382498,-79.0201438,
Royalmount,True,True,45.500762050000006,-73.66217635588133,
SFK PÃƒÂ¢te SENC,True,True,,,
SGL Canada,True,True,,,
Saguenay,True,True,48.405959,-71.069183,
Saint-Alexandre,True,True,44.2280258,4.6214107,
Saint-Ambroise,False,True,48.8610434,2.3747264,
Saint-Basile,True,True,44.9566,4.57108,
Saint-Blaise,True,True,46.0647356,6.0889634,
Saint-Bruno-de-Montarville,True,True,45.5256161,-73.3391798,
Saint-Chrysostome,True,True,45.1027107,-73.7599069,
Saint-ClÃƒÂ©ment,True,True,,,
Saint-CÃƒÂ©saire,True,True,,,
Saint-Donat,False,True,45.4691221,2.7183848,
Saint-Eustache,False,True,45.795938,6.1482421,
Saint-FranÃƒÂ§ois,True,True,,,
Saint-FÃƒÂ©licien,True,True,,,
Saint-Georges,True,True,50.3583949,2.0874312,
Saint-Jean,True,True,43.6650391,1.5039252,
Saint-Joseph,True,True,49.5344534,-1.529802,
Saint-JÃƒÂ©rÃƒÂ´me,True,True,,,
Saint-Lazare,False,True,48.8752873,2.3250076,
Saint-Lin,False,True,46.5286039,-0.2422054,
Saint-Louis,True,False,38.6280278,-90.1910154,
Saint-Maxime,True,True,45.5548158,4.8795731,
Saint-Michel,True,True,49.9186556,4.1340444,
Saint-Pascal,True,True,47.5266271,-69.8074463,
Saint-Patrick,True,True,12.1999339,-61.63806771473661,
Saint-Polycarpe,True,False,43.0418339,2.2899921,
Saint-Robert-Bellarmin,False,True,45.749798,-70.586472,
Saint-RÃƒÂ©mi,True,True,,,
Saint-Sauveur,True,False,49.9380929,2.2120112,
Saint-Sulpice,False,True,49.3505211,2.1221698,
Saint-SÃƒÂ©bastien,True,True,,,
Saint-Ulric-Saint-LÃƒÂ©andre,True,True,,,
Saint-Ãƒâ€°variste,True,True,,,
Sainte-Agathe-des-Monts,True,True,46.046072,-74.279938,
Sainte-Anne-des-Plaines,False,True,45.76417,-73.818855,
Sainte-Claire,True,False,46.600629,-70.864906,
Sainte-Germaine,True,True,51.0237141,2.3850084,
Sainte-Marguerite-1,True,True,48.316454,-67.084712,
Sainte-Marguerite-2,True,True,48.315673,-67.084404,
Sainte-Marguerite-3,True,False,51.27961485,3.5562555287027404,
Sainte-Marie,False,True,42.97204,0.62129,
Sainte-PerpÃƒÂ©tue,True,True,,,
Sainte-Rosalie,True,True,45.6452982,-72.8981076,
Sainte-Rose,True,True,16.3327353,-61.698147,
Sainte-ThÃƒÂ©rÃƒÂ¨se-Ouest,True,True,,,
Sainte-Ãƒâ€°mÃƒÂ©lie,True,True,,,
Salaberry,True,True,-46.4361515,-67.5469782,
Saraguay,True,True,45.5109688,-73.7495725,
Sarcelle,True,False,16.1606569,-61.590219,
Sayabec,True,True,48.566157,-67.688141,
Seigneurie de BeauprÃƒÂ©,True,True,,,
Senneterre,True,True,48.390458,-77.242813,
Sept-ÃƒÅ½les,True,True,,,
Shawinigan-2,False,True,44.680289,-63.5268373,
Shawinigan-3,True,True,44.6798835,-63.5268962319409,
Sherbrooke,True,True,45.403271,-71.889038,
Shipshaw,True,True,48.4598044,-71.2609844,
Sidbec-Dosco,True,True,,,
Silicium-BÃƒÂ©cancour,False,True,,,
Simard,True,True,46.7204299,5.1807553,
Sleeper et Akhurst,False,True,,,
Sorel,True,True,50.0226557,3.0504977,
Sorel-Sud,True,True,46.016158,-73.1506233,
Sources,True,True,44.6408028581659,2.6069107174948383,
Spruce Falls Inc,True,True,,,
Squatec,False,True,47.8814362,-68.7253306,
Stanstead,False,True,52.1063234,0.6909612,
Stukely,True,False,45.321254,-72.418442,
Sully,False,True,49.5592119,1.7836531,
Sully JCT,True,True,,,
Tembec Inc TÃƒÂ©miscaming,False,True,,,
Temcell,True,True,,,
Templeton,True,True,41.9185415,-94.9430412,
Terrebonne,True,True,29.4616211,-90.8705871,
Thetford,True,True,52.4156001,0.748712,
Thibaudeau,True,True,44.4612259,0.0384904,
Thurso-Papineau,True,True,45.598185,-75.246048,
Tilly,True,True,49.1454611,1.5298369,
Toulnustouc,False,True,49.9706305,-68.15939380426352,
Touraine,True,True,47.0912967,0.2332121,
Trans Canada Ãƒâ€°nergie,False,True,,,
Trenche,True,False,47.7449387,-72.8819776,
Trois-Pistoles,True,True,48.122101,-69.169922,
Trois-RiviÃƒÂ¨res,True,True,,,
Uniboard Canada Inc,True,True,48.55627025,-67.65539453226316,
Usine Alma,False,True,48.58529825,-71.69103529648955,
Usine Beauharnois Alcan,True,True,,,
Usine JonquiÃƒÂ¨re,True,True,,,
Val dOr,False,True,-40.7918829,175.6620508,
Val-TÃƒÂ©treau,True,False,,,
Valleyfield,True,True,46.1436432,-62.6804255543062,
Varennes,True,True,50.0491339,2.5347096,
Vaudreuil-Soulanges,True,True,45.3781798,-74.2292199,
Vents du Kempt,False,True,,,
Viger,True,True,43.0628809,-0.0487106,
Vignan,True,True,17.71109645,83.16528267416054,
Ville de Joliette,True,False,46.02357705,-73.44271611350774,
Ville de Magog,False,True,45.2649413,-72.1468359,
Ville de Saguenay,False,True,48.405959,-71.069183,
Ville de Sherbrooke Galt,True,True,,,
Ville de Sherbrooke MassÃƒÂ©,True,True,,,
Ville de Sherbrooke Orford,True,True,,,
Ville de Sherbrooke Saint-FranÃƒÂ§ois,True,False,,,
Villeroy,True,True,49.9401534,1.7261888,
Viterra Inc.,False,True,50.44684825,-104.61867189217287,
Waconichi,False,True,50.21710732426201,-73.8082767,
Wakefield,True,True,53.6829541,-1.4967286,
Waswanipi,True,True,49.6934501,-76.14958691395637,
Waterloo,False,True,42.498275,-92.3328743,
Weedon,True,True,51.8559075,-0.8191189,
Wemindji,False,True,52.9247619,-78.80623302926833,
Windsor,True,True,42.2858536,-82.9780695,
Wyman,True,True,37.6322678,-87.3325009,
Yamaska,False,True,46.004355,-72.913513,
